date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,26.8,39.5,26,0
2018-7-1,0:15,0,0,26.76,39.73,25,0
2018-7-1,0:30,0,0,26.72,39.96,26,0
2018-7-1,0:45,0,0,26.56,40.53,26,0
2018-7-1,1:00,0,0,26.29,41.43,27,0
2018-7-1,1:15,0,0,25.99,42.55,26,0
2018-7-1,1:30,0,0,25.8,43.27,26,0
2018-7-1,1:45,0,0,25.63,43.97,26,0
2018-7-1,2:00,0,0,25.47,44.63,26,0
2018-7-1,2:15,0,0,25.34,45.25,25,0
2018-7-1,2:30,0,0,25.12,46.24,24,0
2018-7-1,2:45,0,0,24.74,47.86,24,0
2018-7-1,3:00,0,0,24.17,50.17,25,0
2018-7-1,3:15,0,0,23.57,52.57,25,0
2018-7-1,3:30,0,0,23.03,54.73,25,0
2018-7-1,3:45,0,0,22.61,56.37,25,0
2018-7-1,4:00,0,0,22.23,57.75,24,0
2018-7-1,4:15,0,0,21.87,58.7,24,0
2018-7-1,4:30,0,0,21.54,59.14,24,0
2018-7-1,4:45,0,0,21.26,59.08,24,0
2018-7-1,5:00,0,0,21.08,58.28,24,0
2018-7-1,5:15,9.72,3.91,21,57.45,24,0
2018-7-1,5:30,31.16,18.44,21.06,57.27,24,0.3409
2018-7-1,5:45,71.9,51.54,21.33,57.57,24,0.77945
2018-7-1,6:00,102.33,78.1,21.57,58.59,24,1.64325
2018-7-1,6:15,150.94,122.01,21.76,59.89,24,2.639
2018-7-1,6:30,184.67,153.15,21.9,60.99,25,3.77475
2018-7-1,6:45,236.49,201.62,22.23,61.3,25,5.18245
2018-7-1,7:00,271.52,234.69,22.69,61.03,25,6.83865
2018-7-1,7:15,324.32,284.86,23.32,59.98,26,8.52495
2018-7-1,7:30,359.47,318.46,24.06,58.25,26,10.3285
2018-7-1,7:45,411.77,368.65,24.81,55.77,26,12.4075
2018-7-1,8:00,446.13,401.72,25.3,54.4,26,14.4508
2018-7-1,8:15,496.58,450.4,25.86,53.63,27,16.399599
2018-7-1,8:30,529.29,482.02,26.45,52.76,27,18.169201
2018-7-1,8:45,576.65,527.89,27.09,51.58,28,19.996901
2018-7-1,9:00,606.96,557.3,27.84,48.74,28,21.829149
2018-7-1,9:15,650.31,599.39,28.44,46.47,28,23.586849
2018-7-1,9:30,677.66,625.98,28.98,45.56,28,25.18075
2018-7-1,9:45,716.12,663.41,29.56,44.61,29,26.540501
2018-7-1,10:00,739.91,686.58,30.15,43.6,29,27.779499
2018-7-1,10:15,772.53,718.36,30.84,41.67,29,29.267
2018-7-1,10:30,792.19,737.51,31.45,39.66,30,30.391899
2018-7-1,10:45,818.29,762.95,31.99,38.24,30,31.0947
2018-7-1,11:00,833.24,777.52,32.5,36.91,31,32.194401
2018-7-1,11:15,851.8,795.61,33.02,35.19,32,32.70155
2018-7-1,11:30,861.71,805.29,33.5,33.6,32,32.085548
2018-7-1,11:45,873.05,816.34,33.94,32.25,33,31.967251
2018-7-1,12:00,878.06,821.24,34.36,30.9,32,32.808998
2018-7-1,12:15,880.12,823.34,34.75,29.75,33,32.893349
2018-7-1,12:30,870.77,814.63,35.12,28.64,33,31.75935
2018-7-1,12:45,844.49,789.93,35.44,27.71,33,32.204552
2018-7-1,13:00,807.76,755.43,35.72,26.74,33,31.855949
2018-7-1,13:15,775.65,725.06,35.97,25.56,34,29.073799
2018-7-1,13:30,770.61,720.03,36.14,24.77,34,29.445499
2018-7-1,13:45,780.15,728.3,36.26,24.24,34,30.672251
2018-7-1,14:00,795.96,742.5,36.36,23.92,33,27.762699
2018-7-1,14:15,790.88,736.74,36.44,23.75,34,25.7446
2018-7-1,14:30,780.12,725.92,36.52,23.65,34,25.56015
