date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,23.89,55.51,23.299999,0
2018-7-1,0:15,0,0,23.73,55.65,23.5,0
2018-7-1,0:30,0,0,23.59,55.72,23.700001,0
2018-7-1,0:45,0,0,23.49,55.67,23.4,0
2018-7-1,1:00,0,0,23.4,55.56,23,0
2018-7-1,1:15,0,0,23.3,55.46,22.700001,0
2018-7-1,1:30,0,0,23.25,55.24,23,0
2018-7-1,1:45,0,0,23.19,55.08,22.799999,0
2018-7-1,2:00,0,0,23.13,54.89,22.9,0
2018-7-1,2:15,0,0,23.1,54.67,22.5,0
2018-7-1,2:30,0,0,23.08,54.45,22.299999,0
2018-7-1,2:45,0,0,23.03,54.31,23.5,0
2018-7-1,3:00,0,0,22.98,54.22,23.6,0
2018-7-1,3:15,0,0,22.93,54.17,23.4,0
2018-7-1,3:30,0,0,22.84,54.24,22.799999,0
2018-7-1,3:45,0,0,22.73,54.38,22.200001,0
2018-7-1,4:00,0,0,22.62,54.51,22.9,0
2018-7-1,4:15,0,0,22.53,54.6,22.5,0
2018-7-1,4:30,0,0,22.45,54.61,22.200001,0
2018-7-1,4:45,0,0,22.39,54.55,22,0
2018-7-1,5:00,0,0,22.31,54.52,21.700001,0
2018-7-1,5:15,1.47,0.16,22.22,54.52,21.6,0
2018-7-1,5:30,19.27,10.1,22.22,54.52,21.9,0.14455
2018-7-1,5:45,58.86,40.96,22.48,54.12,21.799999,0.318325
2018-7-1,6:00,89.5,67.36,22.87,53.54,22.6,0.562625
2018-7-1,6:15,138.99,111.88,23.51,52.49,23.299999,0.9331
2018-7-1,6:30,173.53,143.73,24.23,51.51,23.700001,1.287475
2018-7-1,6:45,226.78,193.57,25.15,50.26,23.799999,1.7318
2018-7-1,7:00,262.87,227.72,26.18,48.98,24.6,2.264325
2018-7-1,7:15,317.42,279.67,27.26,42.72,25.9,2.949975
2018-7-1,7:30,353.78,314.51,27.85,40.2,27.4,3.7114
2018-7-1,7:45,407.83,366.51,28.23,39.13,26,4.51885
2018-7-1,8:00,443.29,400.73,28.54,38.82,25.700001,5.35675
2018-7-1,8:15,495.33,451.07,28.85,37.92,27.1,6.174875
2018-7-1,8:30,529.13,483.84,29.05,37.85,27,6.973925
2018-7-1,8:45,578.27,531.56,29.28,37.06,27.200001,7.833175
2018-7-1,9:00,609.76,562.2,29.44,36.67,27.6,8.407175
2018-7-1,9:15,654.77,606.03,29.6,36.41,27.700001,9.132199
2018-7-1,9:30,683.19,633.71,29.75,36.13,28.1,9.983225
2018-7-1,9:45,723.18,672.73,29.96,35.72,28.4,10.46815
2018-7-1,10:00,747.95,696.91,30.2,34.96,29,11.02798
2018-7-1,10:15,781.93,730.1,30.47,34.19,29.299999,11.48805
2018-7-1,10:30,802.39,750.09,30.74,33.65,29.299999,11.99572
2018-7-1,10:45,829.73,776.8,31.02,33.19,29.4,12.2241
2018-7-1,11:00,845.72,792.43,31.3,32.21,29.700001,12.5692
2018-7-1,11:15,866.22,812.49,31.56,31.32,30.4,12.6721
2018-7-1,11:30,877.49,823.51,31.81,30.77,30.6,12.94125
2018-7-1,11:45,890.7,836.45,32.06,30.24,30.700001,13.1033
2018-7-1,12:00,896.99,842.61,32.33,29.25,30.799999,12.92025
2018-7-1,12:15,902.46,847.96,32.59,28.01,31.9,11.05667
2018-7-1,12:30,903.41,848.88,32.81,27.36,30.9,9.309475
2018-7-1,12:45,900.85,846.39,33.01,26.92,31.6,10.68848
2018-7-1,13:00,896.53,842.16,33.2,26.58,31.5,10.2172
2018-7-1,13:15,886.08,831.94,33.39,26.1,31.6,13.29808
2018-7-1,13:30,876.42,822.5,33.58,25.55,32,12.8464
2018-7-1,13:45,858.16,804.64,33.72,25.36,32.5,12.69748
2018-7-1,14:00,843.66,790.45,33.84,25.34,33.099998,9.761149
2018-7-1,14:15,818.57,765.93,33.95,25.31,32.700001,7.451324
2018-7-1,14:30,799.51,747.3,34.07,25.27,32,7.621424
2018-7-1,14:45,767.54,716.07,34.18,25.11,32.799999,11.4548
2018-7-1,15:00,744.27,693.36,34.32,24.68,33,10.4307
2018-7-1,15:15,706.63,656.64,34.43,24.21,33.200001,10.01857
2018-7-1,15:30,679.74,630.41,34.51,23.81,33,6.148975
2018-7-1,15:45,636.94,588.73,34.51,23.59,33,8.448649
2018-7-1,16:00,606.82,559.42,34.49,23.52,32.299999,5.8961
2018-7-1,16:15,559.42,513.34,34.43,23.59,32.700001,6.959575
2018-7-1,16:30,526.45,481.33,34.41,23.64,32.700001,6.41865
2018-7-1,16:45,475.28,431.75,34.35,23.8,32.900002,4.244625
2018-7-1,17:00,440.25,397.86,34.29,23.99,32.900002,3.87625
2018-7-1,17:15,386.63,346.14,34.18,24.3,32.5,1.80915
2018-7-1,17:30,350.37,311.28,34.08,24.71,32.099998,2.4535
2018-7-1,17:45,295.65,258.91,33.9,25.32,32.099998,1.8641
2018-7-1,18:00,259.27,224.28,33.73,26.02,31.700001,1.6471
2018-7-1,18:15,205.36,173.4,33.47,26.9,31.6,1.1746
2018-7-1,18:30,165.98,132.48,33.18,27.88,31.299999,0.949375
2018-7-1,18:45,119.2,93.86,32.8,29.07,31,0.730975
2018-7-1,19:00,87.02,65.08,32.33,30.55,30.9,0.3332
2018-7-1,19:15,42.89,27.74,31.63,32.38,30.5,0.168525
2018-7-1,19:30,18.14,9.23,30.95,33.9,30.299999,0.07735
2018-7-1,19:45,0,0,30.33,34.94,29.9,0
2018-7-1,20:00,0,0,29.85,35.95,29.6,0
2018-7-1,20:15,0,0,29.44,36.91,29.4,0
2018-7-1,20:30,0,0,29.13,37.73,28.200001,0
2018-7-1,20:45,0,0,28.78,38.66,27.5,0
2018-7-1,21:00,0,0,28.48,39.56,27.1,0
2018-7-1,21:15,0,0,28.17,40.5,26.5,0
2018-7-1,21:30,0,0,27.99,41.08,26.200001,0
2018-7-1,21:45,0,0,27.76,41.61,26.4,0
2018-7-1,22:00,0,0,27.62,41.78,26,0
2018-7-1,22:15,0,0,27.52,41.73,26.200001,0
2018-7-1,22:30,0,0,27.36,41.68,25.6,0
2018-7-1,22:45,0,0,27.05,42.03,25.5,0
