date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,23.87,49.29,24.1,0
2018-7-1,0:15,0,0,23.76,49.47,23.700001,0
2018-7-1,0:30,0,0,23.67,49.58,23.700001,0
2018-7-1,0:45,0,0,23.55,49.79,23.700001,0
2018-7-1,1:00,0,0,23.43,49.96,24.200001,0
2018-7-1,1:15,0,0,23.31,50.17,23.6,0
2018-7-1,1:30,0,0,23.19,50.37,22.200001,0
2018-7-1,1:45,0,0,23.09,50.53,23,0
2018-7-1,2:00,0,0,23,50.65,22.5,0
2018-7-1,2:15,0,0,22.89,50.85,22.299999,0
2018-7-1,2:30,0,0,22.79,51.03,21.200001,0
2018-7-1,2:45,0,0,22.7,51.18,21.1,0
2018-7-1,3:00,0,0,22.6,51.34,21.299999,0
2018-7-1,3:15,0,0,22.46,51.65,20.1,0
2018-7-1,3:30,0,0,22.31,52.01,21.1,0
2018-7-1,3:45,0,0,22.25,52.09,21.700001,0
2018-7-1,4:00,0,0,22.19,52.1,20.6,0
2018-7-1,4:15,0,0,22.05,52.33,20.4,0
2018-7-1,4:30,0,0,21.88,52.61,20.200001,0
2018-7-1,4:45,0,0,21.72,52.96,20.1,0
2018-7-1,5:00,0,0,21.57,53.28,20.700001,0
2018-7-1,5:15,7.63,2.87,21.46,53.66,19.1,0
2018-7-1,5:30,28.43,16.76,21.43,54.06,20.299999,0
2018-7-1,5:45,68.82,49.6,21.69,53.95,19.799999,0.31262
2018-7-1,6:00,99.16,76.19,22.1,52.95,20.4,0.52577
2018-7-1,6:15,147.73,120.28,22.63,51.78,20.799999,0.831285
2018-7-1,6:30,181.49,151.6,23.26,50.42,21.299999,1.26469
2018-7-1,6:45,233.45,200.44,23.64,48.24,22.1,1.76204
2018-7-1,7:00,268.66,233.85,23.95,47.5,23,2.365965
2018-7-1,7:15,321.83,284.66,24.29,46.72,24.299999,3.048045
2018-7-1,7:30,357.28,318.7,24.6,46.01,24.9,3.77986
2018-7-1,7:45,410.01,369.55,24.95,45.18,25.799999,4.49036
2018-7-1,8:00,444.64,403.04,25.28,44.56,26.1,5.20086
2018-7-1,8:15,495.47,452.31,25.66,43.9,26,5.98241
2018-7-1,8:30,528.43,484.33,26.02,43.25,26.299999,6.69291
2018-7-1,8:45,576.21,530.82,26.39,42.34,26.6,7.31815
2018-7-1,9:00,606.8,560.61,26.72,41.6,27.1,8.02865
2018-7-1,9:15,650.56,603.29,27.08,40.86,27.1,8.618365
2018-7-1,9:30,678.16,630.25,27.44,40.19,27,9.2365
2018-7-1,9:45,716.97,668.18,27.8,39.54,27.5,9.76227
2018-7-1,10:00,740.96,691.63,28.12,39.08,27.5,10.24541
2018-7-1,10:15,773.9,723.84,28.45,38.82,27.799999,10.5083
2018-7-1,10:30,793.72,743.25,28.78,38.72,27.700001,11.40352
2018-7-1,10:45,820.17,769.12,29.13,38.71,28.1,11.77298
2018-7-1,11:00,835.57,784.19,29.48,38.55,28.4,11.48878
2018-7-1,11:15,855.42,803.64,29.86,37.54,29.1,11.70904
2018-7-1,11:30,866.35,814.34,30.2,36.4,29,11.67351
2018-7-1,11:45,879.18,826.93,30.51,35.32,28.799999,12.04297
2018-7-1,12:00,885.33,832.96,30.74,34.44,29.4,12.32718
2018-7-1,12:15,890.93,838.46,31.02,33.56,29.6,11.5101
2018-7-1,12:30,892.25,839.74,31.31,31.75,29.9,12.02876
2018-7-1,12:45,890.65,838.18,31.51,30.55,29.9,12.17087
2018-7-1,13:00,887.19,834.81,31.69,29.57,29.9,11.76588
2018-7-1,13:15,878.24,826.06,31.87,28.7,31.5,11.15485
2018-7-1,13:30,869.7,817.71,32.03,28.03,30.4,10.20988
2018-7-1,13:45,853.11,801.47,32.15,27.58,30.200001,9.129925
2018-7-1,14:00,839.61,788.25,32.26,27.23,31.299999,10.57224
2018-7-1,14:15,815.92,765.07,32.35,26.95,31.6,10.40882
2018-7-1,14:30,797.91,747.45,32.44,26.62,31.4,9.499385
2018-7-1,14:45,767.62,717.81,32.53,26.41,31.1,9.229395
2018-7-1,15:00,745.29,695.98,32.62,26.21,31.5,7.311045
2018-7-1,15:15,708.86,660.39,32.68,26.13,31.6,7.041055
2018-7-1,15:30,682.7,634.82,32.73,26.17,31.299999,7.936285
2018-7-1,15:45,640.78,593.91,32.76,26.4,31.799999,6.35187
2018-7-1,16:00,611.2,565.07,32.77,26.7,31.299999,4.02143
2018-7-1,16:15,565.26,519.69,32.77,27.09,31.700001,4.724825
2018-7-1,16:30,532.23,488.2,32.77,27.49,31.5,3.573815
2018-7-1,16:45,481.95,439.36,32.74,28.03,31.299999,2.85621
2018-7-1,17:00,447.48,405.94,32.72,28.53,31.299999,2.58622
2018-7-1,17:15,394.75,354.95,32.65,28.82,31,2.422805
2018-7-1,17:30,359.11,320.59,32.59,29.38,31.1,2.38728
2018-7-1,17:45,305.36,268.99,32.46,30.03,31.200001,2.1315
2018-7-1,18:00,269.61,234.85,32.35,30.64,31.200001,1.63415
2018-7-1,18:15,216.56,184.54,32.17,31.25,31.1,1.229165
2018-7-1,18:30,181.89,151.99,32.01,31.73,31.1,1.087065
2018-7-1,18:45,131.52,105.42,31.74,32.43,31,0.66787
2018-7-1,19:00,99.49,76.46,31.34,33.73,30.700001,0.38367
2018-7-1,19:15,54.93,37.81,30.68,35.48,30.700001,0.177625
2018-7-1,19:30,28.9,17.05,30.38,35.7,30.299999,0
2018-7-1,19:45,1.2,0.1,30.01,35.69,29.700001,0
2018-7-1,20:00,0,0,29.73,35.92,28.799999,0
2018-7-1,20:15,0,0,29.52,36.08,28.299999,0
2018-7-1,20:30,0,0,29.34,36.19,27.299999,0
2018-7-1,20:45,0,0,29.19,36.27,27.4,0
2018-7-1,21:00,0,0,28.96,36.58,26.5,0
2018-7-1,21:15,0,0,28.77,36.84,26.200001,0
2018-7-1,21:30,0,0,28.6,37.12,26.299999,0
2018-7-1,21:45,0,0,28.42,37.45,26.299999,0
2018-7-1,22:00,0,0,28.26,37.78,26,0
2018-7-1,22:15,0,0,28.11,38.11,26,0
2018-7-1,22:30,0,0,27.95,38.51,24.799999,0
2018-7-1,22:45,0,0,27.81,38.88,25.5,0
2018-7-1,23:00,0,0,27.67,39.29,25.299999,0
2018-7-1,23:15,0,0,27.32,40.21,25.200001,0
2018-7-1,23:30,0,0,26.59,42.19,25.700001,0
2018-7-1,23:45,0,0,26.11,43.77,25.299999,0
2018-7-2,0:00,0,0,24.07,48.26,25.6,0
2018-7-2,0:15,0,0,23.89,49.07,25.1,0
2018-7-2,0:30,0,0,23.76,49.73,25,0
2018-7-2,0:45,0,0,23.57,50.54,24.6,0
2018-7-2,1:00,0,0,23.41,51.26,24.1,0
2018-7-2,1:15,0,0,23.25,51.99,24.299999,0
