date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,28.04,38.78,0,26.13448,0
2018/7/1,0:15,0,0,27.67,39.76,0,25.998949,0
2018/7/1,0:30,0,0,27.28,40.78,0,25.795271,0
2018/7/1,0:45,0,0,26.89,41.78,0,25.795271,0
2018/7/1,1:00,0,0,26.61,42.5,0,25.65947,0
2018/7/1,1:15,0,0,26.37,43.16,0,24.70886,0
2018/7/1,1:30,0,0,26.16,43.78,0,24.980471,0
2018/7/1,1:45,0,0,25.95,44.45,0,25.727369,0
2018/7/1,2:00,0,0,25.76,45.07,0,25.455759,0
2018/7/1,2:15,0,0,25.63,45.55,0,25.52367,0
2018/7/1,2:30,0,0,25.54,45.93,0,25.52367,0
2018/7/1,2:45,0,0,25.42,46.4,0,25.795271,0
2018/7/1,3:00,0,0,25.27,46.93,0,25.52367,0
2018/7/1,3:15,0,0,25.12,47.48,0,24.573071,0
2018/7/1,3:30,0,0,24.92,48.12,0,25.048361,0
2018/7/1,3:45,0,0,24.64,48.94,0,24.980471,0
2018/7/1,4:00,0,0,24.15,50.39,0,24.980471,0
2018/7/1,4:15,0,0,23.62,51.9,0,24.43726,0
2018/7/1,4:30,0,0,23.21,53.03,0,23.82616,0
2018/7/1,4:45,0,0,22.89,53.92,0,24.097759,0
2018/7/1,5:00,0,0,22.58,54.88,0.380374,23.82616,0
2018/7/1,5:15,8.81,3.39,22.37,55.62,6.466354,23.82616,0
2018/7/1,5:30,30.13,17.66,22.39,55.76,17.877569,24.165661,0.218357
2018/7/1,5:45,71.03,50.82,22.75,54.88,33.472889,24.23357,0.461877
2018/7/1,6:00,101.68,77.56,23.33,53.48,49.82896,23.96196,0.715107
2018/7/1,6:15,150.65,121.84,23.95,51.73,70.369148,23.82616,1.055004
2018/7/1,6:30,184.67,153.27,24.31,50.73,106.885002,24.165661,1.382445
2018/7/1,6:45,237.01,202.28,24.87,49.21,157.094406,24.64097,1.842531
2018/7/1,7:00,272.48,235.8,25.48,47.05,202.739197,25.18417,2.414125
2018/7/1,7:15,326.07,286.82,25.9,45.61,251.427094,25.93107,3.085414
2018/7/1,7:30,361.74,320.96,26.38,44.6,306.961609,25.587179,3.923063
2018/7/1,7:45,414.72,371.85,27.02,43.31,344.242004,25.790371,4.708375
2018/7/1,8:00,449.43,405.32,27.82,41.46,399.033386,26.196039,5.676453
2018/7/1,8:15,500.3,454.45,28.35,40,451.545593,26.8039,6.510219
2018/7/1,8:30,533.18,486.29,28.87,39.25,499.482086,26.804951,7.499188
2018/7/1,8:45,580.76,532.41,29.47,38.34,560.382629,27.345881,8.5505
2018/7/1,9:00,611.18,561.95,30.15,37.03,610.633606,28.094311,9.338
2018/7/1,9:15,654.61,604.18,30.68,35.88,644.496277,28.43195,10.27884
2018/7/1,9:30,681.99,630.82,31.19,35.29,700.46051,28.974911,10.80559
2018/7/1,9:45,720.38,668.21,31.74,34.6,730.913391,29.585911,11.50078
2018/7/1,10:00,744.03,691.28,32.32,33.18,763.273621,29.653799,11.93259
2018/7/1,10:15,776.4,722.83,32.83,32.14,796.767578,30.33205,12.54969
2018/7/1,10:30,795.81,741.76,33.32,30.76,811.993713,30.6681,13.17597
2018/7/1,10:45,821.61,766.93,33.77,29.45,838.249329,31.006901,13.66378
2018/7/1,11:00,836.66,781.62,34.14,28.33,905.218018,31.5487,14.34081
2018/7/1,11:15,855.78,800.3,34.49,27.7,882.768188,31.75305,13.95581
2018/7/1,11:30,866.16,810.43,34.86,26.65,872.114197,32.362289,14.31128
2018/7/1,11:45,878.08,822.09,35.15,25.57,883.90979,32.0882,14.679
2018/7/1,12:00,883.56,827.45,35.39,25.05,934.13623,32.56633,14.48956
2018/7/1,12:15,888.06,831.84,35.61,24.6,896.846924,33.239941,14.25331
2018/7/1,12:30,888.5,832.28,35.78,24.17,908.642517,33.241871,14.8015
2018/7/1,12:45,885.22,829.08,35.91,23.92,924.623718,33.110321,14.364
2018/7/1,13:00,880.4,824.38,36,23.87,919.677124,33.71772,14.67288
2018/7/1,13:15,869.33,813.57,36.09,23.93,901.434814,33.443352,14.21656
2018/7/1,13:30,859.39,803.86,36.17,24.07,835.658325,33.719639,14.31413
2018/7/1,13:45,840.66,785.56,36.24,24.3,877.919373,34.12384,14.44231
2018/7/1,14:00,825.71,770.98,36.31,24.58,748.930176,34.056702,13.07031
2018/7/1,14:15,799.94,745.82,36.37,24.86,765.316101,34.19141,12.84784
2018/7/1,14:30,780.69,727.04,36.41,25.05,659.905212,33.85651,10.86859
2018/7/1,14:45,748.86,696,36.45,25.15,368.403198,34.395409,8.931126
2018/7/1,15:00,725.68,673.41,36.5,25.18,695.696777,33.72044,6.942031
2018/7/1,15:15,687.99,636.7,36.52,25.25,532.03772,33.923759,9.382406
2018/7/1,15:30,661.08,610.52,36.53,25.37,524.810425,34.12981,10.28125
2018/7/1,15:45,618.42,569.03,36.5,25.56,431.182404,34.067219,8.176437
2018/7/1,16:00,588.53,540.01,36.48,25.72,520.610596,34.270599,9.293375
2018/7/1,16:15,541.73,494.62,36.41,25.89,340.585205,34.13092,6.995079
2018/7/1,16:30,509.27,463.21,36.35,26.05,327.271698,34.059269,6.132
2018/7/1,16:45,458.95,414.55,36.26,26.33,290.359894,34.063801,4.944078
2018/7/1,17:00,424.49,381.31,36.17,26.69,135.469498,33.4552,2.624836
2018/7/1,17:15,371.87,330.71,36.03,27.22,181.125107,33.458179,3.123367
2018/7/1,17:30,336.44,296.76,35.9,27.81,210.800003,33.66412,3.605984
2018/7/1,17:45,283.1,245.91,35.72,28.51,202.808594,33.724079,3.407469
2018/7/1,18:00,247.68,212.34,35.56,29.2,142.308395,33.654449,2.210086
2018/7/1,18:15,195.24,163.08,35.35,29.95,92.842934,33.454941,1.393
2018/7/1,18:30,161.07,131.38,35.17,30.59,56.31456,32.980259,0.833615
2018/7/1,18:45,111.77,86.5,34.93,31.19,35.767361,32.777439,0.536143
2018/7/1,19:00,80.78,59.14,34.68,31.64,26.635269,32.299931,0.390182
2018/7/1,19:15,38.7,24.13,34.27,32.26,15.98116,31.55546,0.218818
2018/7/1,19:30,15.51,7.36,33.76,33.05,3.805038,31.28561,0
2018/7/1,19:45,0,0,33.2,33.87,0,31.012079,0
2018/7/1,20:00,0,0,32.73,34.69,0,30.53886,0
2018/7/1,20:15,0,0,32.32,35.55,0,30.332951,0
2018/7/1,20:30,0,0,31.94,36.48,0,30.06455,0
2018/7/1,20:45,0,0,31.59,37.54,0,29.58642,0
2018/7/1,21:00,0,0,31.25,38.7,0,29.657301,0
2018/7/1,21:15,0,0,30.93,39.84,0,29.31941,0
2018/7/1,21:30,0,0,30.63,40.82,0,29.25267,0
2018/7/1,21:45,0,0,30.36,41.61,0,28.91539,0
2018/7/1,22:00,0,0,30.15,42.06,0,28.70833,0
2018/7/1,22:15,0,0,29.91,43.31,0,28.43927,0
2018/7/1,22:30,0,0,29.62,46.38,0,28.30714,0
2018/7/1,22:45,0,0,29.37,49.25,0,28.102859,0
2018/7/1,23:00,0,0,29.12,50.77,0,27.899611,0
2018/7/1,23:15,0,0,28.84,52.09,0,27.4918,0
2018/7/1,23:30,0,0,28.59,53.92,0,27.221081,0
2018/7/1,23:45,0,0,28.33,56.45,0,27.22117,0
2018/7/2,0:00,0,0,27.41,51.56,0,26.81377,0
2018/7/2,0:15,0,0,27.16,52.65,0,26.677971,0
2018/7/2,0:30,0,0,26.95,53.69,0,26.541019,0
2018/7/2,0:45,0,0,26.73,54.79,0,26.202579,0
2018/7/2,1:00,0,0,26.55,55.74,0,26.06687,0
2018/7/2,1:15,0,0,26.36,56.78,0,26.47427,0
2018/7/2,1:30,0,0,26.18,57.77,0,26.270571,0
2018/7/2,1:45,0,0,25.99,58.78,0,26.134769,0
2018/7/2,2:00,0,0,25.79,59.9,0,26.06687,0
2018/7/2,2:15,0,0,25.59,61.01,0,25.93107,0
2018/7/2,2:30,0,0,25.45,61.95,0,25.65947,0
2018/7/2,2:45,0,0,25.2,63.23,0,25.59157,0
2018/7/2,3:00,0,0,24.96,64.45,0,25.52367,0
2018/7/2,3:15,0,0,24.68,65.78,0,25.387859,0
2018/7/2,3:30,0,0,24.41,67.15,0,25.319969,0
2018/7/2,3:45,0,0,24.21,68.26,0,25.116261,0
2018/7/2,4:00,0,0,24.06,69.01,0,25.048361,0
2018/7/2,4:15,0,0,23.91,69.57,0,24.844669,0
2018/7/2,4:30,0,0,23.73,70.07,0,24.912571,0
2018/7/2,4:45,0,0,23.56,70.4,0,24.77676,0
2018/7/2,5:00,0,0,23.36,70.69,0.760748,24.77676,0
2018/7/2,5:15,7.11,2.47,23.25,70.6,8.748597,24.77676,0.059153
2018/7/2,5:30,26.22,14.93,23.33,69.81,21.681299,24.77676,0.267682
2018/7/2,5:45,62.8,44.53,23.64,68.11,34.61401,24.573071,0.489303
2018/7/2,6:00,90.43,68.55,24.11,66.07,42.221489,24.505171,0.606867
2018/7/2,6:15,135.04,108.78,24.72,63.58,50.970089,24.70886,0.779105
2018/7/2,6:30,166.67,137.88,25.17,62.64,70.369148,24.77676,1.075266
2018/7/2,6:45,215.08,183.1,25.76,61.67,110.688797,24.980471,1.820984
2018/7/2,7:00,246.96,213.26,26.19,61.06,112.210297,25.116261,1.841875
2018/7/2,7:15,292.95,257.21,26.79,59.57,144.542007,25.455759,2.359
2018/7/2,7:30,319.69,283.17,27.43,57.65,191.708405,25.99897,3.250024
2018/7/2,7:45,358.9,321.34,27.89,55.86,152.529907,26.47427,2.571133
2018/7/2,8:00,380.63,342.8,28.37,54.62,204.641098,26.745871,3.465
2018/7/2,8:15,416.29,377.7,28.91,53.33,360.979706,27.556919,6.192703
2018/7/2,8:30,437.99,399.05,29.5,48.48,244.582901,28.165461,4.07236
2018/7/2,8:45,473,433.24,29.96,46.9,330.96109,28.09354,5.520266
2018/7/2,9:00,494.3,454.12,30.44,45.56,544.023804,28.49576,8.546782
2018/7/2,9:15,526.08,485.19,30.96,44.11,616.32843,28.9732,9.601156
2018/7/2,9:30,544.06,502.9,31.48,41.28,683.335815,29.653629,10.57
2018/7/2,9:45,569.98,528.39,31.91,39.2,768.587891,30.60228,10.66253
2018/7/2,10:00,583.42,541.76,32.29,38.13,439.47821,30.73978,8.294126
2018/7/2,10:15,603.8,561.88,32.7,35.83,573.038025,31.07793,10.67894
2018/7/2,10:30,614.82,572.81,33.04,33.92,536.51001,30.942039,9.578188
2018/7/2,10:45,632.52,590.18,33.33,32.9,443.286713,30.86944,7.434875
2018/7/2,11:00,642.17,597.89,33.54,32.36,622.884277,31.482071,9.001344
2018/7/2,11:15,656.9,589.38,33.77,32.15,523.572876,31.544081,9.702001
2018/7/2,11:30,670,592.46,33.97,32.03,665.120178,33.652809,10.20403
2018/7/2,11:45,684.34,616.8,34.18,31.93,340.931213,32.15662,6.081359
2018/7/2,12:00,657.93,447.66,34.41,31.06,455.462799,31.883739,7.586469
2018/7/2,12:15,681.88,630.66,34.66,30.38,453.940796,33.58469,8.865938
