date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,18.14,61.72,18.4,0
2018-7-1,0:15,0,0,18.2,61.27,18.4,0
2018-7-1,0:30,0,0,18.24,60.89,17.700001,0
2018-7-1,0:45,0,0,18.22,60.72,17.299999,0
2018-7-1,1:00,0,0,18.17,60.73,17.700001,0
2018-7-1,1:15,0,0,18.08,60.85,17.200001,0
2018-7-1,1:30,0,0,18.01,60.95,17.299999,0
2018-7-1,1:45,0,0,17.91,61.14,17.1,0
2018-7-1,2:00,0,0,17.78,61.5,17,0
2018-7-1,2:15,0,0,17.64,61.91,16.799999,0
2018-7-1,2:30,0,0,17.52,62.22,17.299999,0
2018-7-1,2:45,0,0,17.45,62.35,16.6,0
2018-7-1,3:00,0,0,17.39,62.42,16.9,0
2018-7-1,3:15,0,0,17.31,62.56,16.299999,0
2018-7-1,3:30,0,0,17.2,62.87,16.1,0
2018-7-1,3:45,0,0,17.09,63.19,15.5,0
2018-7-1,4:00,0,0,16.97,63.54,15.4,0
2018-7-1,4:15,0,0,16.88,63.78,15.4,0
2018-7-1,4:30,0,0,16.78,64.08,15,0
2018-7-1,4:45,0,0,16.69,64.35,15.1,0
2018-7-1,5:00,0,0,16.63,64.48,15.1,0
2018-7-1,5:15,16.76,8.71,16.74,64.13,14.8,0.112
2018-7-1,5:30,40.55,26.6,16.95,63.75,14.7,0.339101
2018-7-1,5:45,83.24,62.88,17.4,63.22,15.1,0.622051
2018-7-1,6:00,114.46,90.87,18.01,61.98,15.7,0.905152
2018-7-1,6:15,163.86,136.38,18.8,60.67,15.7,1.280653
2018-7-1,6:30,197.96,168.34,19.73,59.62,15.6,1.658803
2018-7-1,6:45,250.22,217.85,20.66,54.99,16.4,2.140704
2018-7-1,7:00,285.5,251.55,21.21,52.06,16.4,2.712506
2018-7-1,7:15,338.66,302.61,21.76,51,18,3.477507
2018-7-1,7:30,374,336.71,22.3,48.85,18,4.287609
2018-7-1,7:45,426.44,387.47,22.77,47.33,18.6,5.220761
2018-7-1,8:00,460.79,420.82,23.23,46.4,20,6.299964
2018-7-1,8:15,511.11,469.74,23.73,44.39,20.6,7.387417
2018-7-1,8:30,543.63,501.42,24.14,43.45,21.1,8.50022
2018-7-1,8:45,590.66,547.31,24.61,42.44,21.299999,9.475523
2018-7-1,9:00,620.72,576.66,25,41.26,22.4,10.43698
2018-7-1,9:15,663.56,618.56,25.36,40.8,23.299999,11.36483
2018-7-1,9:30,690.59,645,25.68,39.94,24,12.22813
2018-7-1,9:45,728.56,682.19,25.94,39.4,24.299999,13.02703
2018-7-1,10:00,751.95,705.13,26.19,39.11,24.299999,13.69419
2018-7-1,10:15,784.03,736.55,26.46,38.4,25.200001,14.30534
2018-7-1,10:30,803.34,755.5,26.67,38.02,25.299999,15.25565
2018-7-1,10:45,829.13,780.78,26.88,37.77,26.200001,15.93445
2018-7-1,11:00,844.09,795.46,27.04,37.46,26.200001,16.34075
2018-7-1,11:15,863.19,814.19,27.18,37.01,26.700001,16.84565
