date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,23.66,52.32,26.4,0
2018-7-1,0:15,0,0,23.43,52.91,26.4,0
2018-7-1,0:30,0,0,23.23,53.42,26,0
2018-7-1,0:45,0,0,23,54,26,0
2018-7-1,1:00,0,0,22.8,54.47,26.1,0
2018-7-1,1:15,0,0,22.6,54.98,25.1,0
2018-7-1,1:30,0,0,22.41,55.47,24.4,0
2018-7-1,1:45,0,0,22.21,55.99,24.5,0
2018-7-1,2:00,0,0,22.02,56.5,24.9,0
2018-7-1,2:15,0,0,21.88,56.86,24.299999,0
2018-7-1,2:30,0,0,21.82,56.92,24.5,0
2018-7-1,2:45,0,0,21.82,56.79,24.799999,0
2018-7-1,3:00,0,0,21.77,56.83,24.299999,0
2018-7-1,3:15,0,0,21.67,56.99,24.1,0
2018-7-1,3:30,0,0,21.59,57.05,24.299999,0
2018-7-1,3:45,0,0,21.55,56.93,24.4,0
2018-7-1,4:00,0,0,21.54,56.72,24.6,0
2018-7-1,4:15,0,0,21.51,56.6,24.4,0
2018-7-1,4:30,0,0,21.43,56.66,23.9,0
2018-7-1,4:45,0,0,21.37,56.66,24,0
2018-7-1,5:00,0,0,21.3,56.7,23.1,0
2018-7-1,5:15,8.43,3.23,21.26,56.8,22,0.009534
2018-7-1,5:30,29.28,17.16,21.31,56.87,21.799999,0.226837
2018-7-1,5:45,69.44,49.7,21.66,56.32,22.700001,0.413229
2018-7-1,6:00,99.59,76.01,22.12,54.87,23,0.674606
2018-7-1,6:15,147.85,119.65,22.77,53.3,23,0.948124
2018-7-1,6:30,181.41,150.66,23.45,51.17,23.4,1.267728
2018-7-1,6:45,233.09,199.07,24,49.8,23.5,1.662879
2018-7-1,7:00,268.09,232.2,24.44,48.69,24.299999,2.191208
2018-7-1,7:15,320.93,282.52,24.93,47.53,24.799999,2.84414
2018-7-1,7:30,356.11,316.21,25.37,46.75,25.799999,3.514194
2018-7-1,7:45,408.36,366.45,25.75,46.2,26.5,4.300107
2018-7-1,8:00,442.66,399.52,26.1,45.67,26.9,5.048281
2018-7-1,8:15,492.99,448.18,26.52,44.98,26.9,5.872924
2018-7-1,8:30,525.67,479.84,26.94,44.35,27.299999,6.743984
2018-7-1,8:45,573.07,525.85,27.4,43.64,27.799999,7.520396
2018-7-1,9:00,603.46,555.38,27.87,42.86,28,8.293312
2018-7-1,9:15,646.88,597.63,28.37,41.63,27.6,8.95657
2018-7-1,9:30,674.21,624.25,28.79,40.75,28.4,9.640479
2018-7-1,9:45,712.6,661.67,29.2,40.38,28.5,10.05486
2018-7-1,10:00,736.33,684.82,29.59,40.15,28.299999,10.75847
2018-7-1,10:15,768.97,716.69,30.01,39.9,28.799999,11.3569
2018-7-1,10:30,788.72,735.96,30.42,39.62,29.5,11.38946
2018-7-1,10:45,815.12,761.74,30.85,39.06,28.9,11.82727
2018-7-1,11:00,830.5,776.77,31.27,38.07,29,12.51207
2018-7-1,11:15,850.19,796.01,31.69,37.18,29.4,12.35738
2018-7-1,11:30,861.1,806.67,32.09,35.82,29.6,12.5375
2018-7-1,11:45,874.02,819.32,32.5,34.22,30.200001,13.20069
2018-7-1,12:00,880.24,825.41,32.85,32.95,30.299999,12.69555
2018-7-1,12:15,885.82,830.88,33.2,31.58,30.6,12.43075
2018-7-1,12:30,887.12,832.15,33.53,29.59,30.5,12.74382
2018-7-1,12:45,885.38,830.47,33.77,28.34,30.799999,11.97097
2018-7-1,13:00,881.7,826.89,33.96,27.52,31,12.05823
2018-7-1,13:15,872.39,817.8,34.12,26.82,31.9,11.70042
2018-7-1,13:30,863.65,809.27,34.28,26.19,32.299999,11.85198
2018-7-1,13:45,846.86,792.87,34.42,25.7,31.9,11.91683
2018-7-1,14:00,833.22,779.55,34.56,25.34,32.5,11.10598
2018-7-1,14:15,809.2,756.1,34.67,25.15,32.299999,11.5233
2018-7-1,14:30,790.9,738.22,34.78,25.14,32.599998,11.49163
2018-7-1,14:45,760.06,708.13,34.87,25.3,32.599998,10.76892
2018-7-1,15:00,737.32,685.93,34.96,25.56,32.700001,10.52111
2018-7-1,15:15,700.22,649.76,35.02,25.89,33.200001,8.505864
2018-7-1,15:30,673.61,623.82,35.09,26.2,33.099998,6.640957
2018-7-1,15:45,631.14,582.46,35.14,26.5,32.5,6.080792
2018-7-1,16:00,601.26,553.41,35.19,26.77,32.400002,5.844652
2018-7-1,16:15,554.29,507.77,35.22,27.06,32.5,5.096874
2018-7-1,16:30,521.79,476.22,35.26,27.22,32.200001,3.73892
2018-7-1,16:45,471.66,427.66,35.29,27.32,32.700001,3.103076
2018-7-1,17:00,437.47,394.62,35.32,27.33,32.200001,2.883893
2018-7-1,17:15,385.45,344.48,35.29,27.38,32.200001,2.674738
2018-7-1,17:30,350.47,310.88,35.27,27.31,32.299999,2.341674
2018-7-1,17:45,297.79,260.51,35.18,27.3,32.299999,2.196619
2018-7-1,18:00,262.78,227.2,35.09,27.28,32.400002,1.894499
2018-7-1,18:15,210.72,178.08,34.94,27.38,32,1.616396
2018-7-1,18:30,176.66,146.26,34.79,27.53,32,1.237212
2018-7-1,18:45,127.12,100.72,34.48,28.14,32,0.940041
2018-7-1,19:00,95.6,72.44,33.96,29.56,31.799999,0.575373
2018-7-1,19:15,51.91,34.93,33.04,31.76,31.700001,0.304396
2018-7-1,19:30,26.58,15.11,32.43,32.68,31.4,0.079802
2018-7-1,19:45,0.49,0.01,31.99,33,31,0
2018-7-1,20:00,0,0,31.65,33.54,30.700001,0
2018-7-1,20:15,0,0,31.34,34.13,30.4,0
2018-7-1,20:30,0,0,31.01,34.85,30,0
2018-7-1,20:45,0,0,30.65,35.66,29.9,0
2018-7-1,21:00,0,0,30.24,36.56,29.700001,0
2018-7-1,21:15,0,0,29.82,37.4,29.5,0
2018-7-1,21:30,0,0,29.39,38.19,29.200001,0
2018-7-1,21:45,0,0,28.94,39.01,29,0
2018-7-1,22:00,0,0,28.56,39.66,28.299999,0
2018-7-1,22:15,0,0,28.2,40.38,28.6,0
2018-7-1,22:30,0,0,27.81,41.38,28.4,0
2018-7-1,22:45,0,0,27.32,42.96,28.200001,0
2018-7-1,23:00,0,0,27.03,44.18,27.799999,0
2018-7-1,23:15,0,0,26.87,45.06,27.6,0
2018-7-1,23:30,0,0,26.76,45.82,27.5,0
2018-7-1,23:45,0,0,26.61,46.8,27.5,0
2018-7-2,0:00,0,0,24.05,50.48,27.5,0
2018-7-2,0:15,0,0,23.83,51.3,27.200001,0
2018-7-2,0:30,0,0,23.67,52,26.9,0
2018-7-2,0:45,0,0,23.47,52.84,26.6,0
2018-7-2,1:00,0,0,23.3,53.56,26.6,0
2018-7-2,1:15,0,0,23.13,54.34,26.5,0
2018-7-2,1:30,0,0,22.91,55.34,26.5,0
2018-7-2,1:45,0,0,22.75,56.19,26.299999,0
2018-7-2,2:00,0,0,22.56,57.19,25.9,0
2018-7-2,2:15,0,0,22.43,58.08,25.9,0
2018-7-2,2:30,0,0,22.31,59,26,0
2018-7-2,2:45,0,0,22.18,60.05,25.6,0
2018-7-2,3:00,0,0,22.04,61.19,25.6,0
2018-7-2,3:15,0,0,21.89,62.46,25.4,0
2018-7-2,3:30,0,0,21.77,63.68,25.1,0
2018-7-2,3:45,0,0,21.67,64.86,24.9,0
2018-7-2,4:00,0,0,21.56,66.09,24.9,0
2018-7-2,4:15,0,0,21.43,67.46,24.700001,0
2018-7-2,4:30,0,0,21.3,68.82,24.5,0
2018-7-2,4:45,0,0,21.19,70.11,24.5,0
2018-7-2,5:00,0,0,21.06,71.39,24.4,0.086136
2018-7-2,5:15,7.29,2.58,21,72.34,24.299999,0.332833
2018-7-2,5:30,26.35,15.04,21.16,72.35,24.299999,0.507217
2018-7-2,5:45,61.73,43.68,21.65,71.12,24.299999,0.979233
2018-7-2,6:00,85,64.37,22.32,69.51,24.5,1.545666
2018-7-2,6:15,121.69,97.99,23.3,67.44,24.799999,2.243992
2018-7-2,6:30,148.14,122.55,24.05,67.16,24.799999,2.124767
2018-7-2,6:45,196.86,167.65,24.45,68.67,24.9,2.49346
2018-7-2,7:00,239,206.47,24.77,68.37,25.1,1.379431
2018-7-2,7:15,300.33,263.82,25.23,66.85,24.799999,2.927967
2018-7-2,7:30,343.22,304.19,25.67,65.12,25.200001,1.315563
2018-7-2,7:45,399.05,357.52,26.12,63.09,25.299999,2.492998
2018-7-2,8:00,434.57,391.67,26.51,61.44,25.6,3.301114
2018-7-2,8:15,485.03,440.42,26.94,60.13,26,5.364817
2018-7-2,8:30,517.49,471.86,27.38,58.81,26.5,6.11012
2018-7-2,8:45,564.66,517.64,27.87,57.31,27,6.797229
2018-7-2,9:00,594.91,547.04,28.36,55.57,27.6,6.859217
2018-7-2,9:15,637.92,588.9,28.93,51.65,27.299999,8.288792
2018-7-2,9:30,663.32,613.74,29.37,49.12,27.799999,8.658607
2018-7-2,9:45,695.76,645.66,29.79,47.84,27.9,8.504313
2018-7-2,10:00,706.95,657.17,30.19,46.55,28.299999,8.983951
2018-7-2,10:15,719.66,670.45,30.64,44.92,28.700001,8.126252
2018-7-2,10:30,715.36,667.27,31.1,42.37,28.4,9.960413
2018-7-2,10:45,717.32,670.14,31.53,40.25,29,8.846351
2018-7-2,11:00,708.54,647.61,31.87,38.91,29.6,11.01988
2018-7-2,11:15,717.53,664.99,32.22,37.69,29.9,13.12049
2018-7-2,11:30,722.64,669.21,32.55,36.09,30.200001,13.09041
2018-7-2,11:45,734.43,670.79,32.85,34.8,30.5,13.1425
2018-7-2,12:00,739.47,665.53,33.1,33.59,31.200001,13.99406
2018-7-2,12:15,733.11,619.98,33.33,32.53,31.6,8.50791
2018-7-2,12:30,728.06,657.48,33.54,31.57,31.1,9.627382
2018-7-2,12:45,709.39,620.75,33.72,30.74,31.200001,13.61811
2018-7-2,13:00,706.72,650.73,33.93,30.06,31.700001,13.06791
2018-7-2,13:15,704.02,658.06,34.14,29.41,31.299999,13.24859
2018-7-2,13:30,680.38,635.08,34.3,28.81,31.799999,13.23566
2018-7-2,13:45,640.39,599.3,34.46,28.3,32.400002,10.96901
2018-7-2,14:00,591.32,552.99,34.6,27.74,32.200001,12.46459
2018-7-2,14:15,533.11,496.49,34.72,27.1,33,11.57057
2018-7-2,14:30,490.9,456.49,34.85,26.46,32.5,10.85691
2018-7-2,14:45,451.68,405.3,34.94,25.94,32.799999,10.56567
2018-7-2,15:00,433.24,390.94,35.05,25.47,33.400002,10.34092
2018-7-2,15:15,418.68,384.69,35.13,25.05,32.5,9.434822
2018-7-2,15:30,417.64,382.09,35.21,24.75,32.700001,9.050096
2018-7-2,15:45,414.52,379.53,35.23,24.69,32.5,7.402986
2018-7-2,16:00,421.74,373.56,35.24,24.82,32.599998,6.377007
2018-7-2,16:15,422.62,384.53,35.21,25.1,32.5,4.052685
2018-7-2,16:30,429.16,390.37,35.19,25.45,32.5,5.125543
2018-7-2,16:45,411.65,372.71,35.15,25.79,32.299999,4.681633
2018-7-2,17:00,383.86,338.76,35.11,26.04,32.5,3.954309
2018-7-2,17:15,344.48,305.87,35.05,26.18,32.299999,4.412833
2018-7-2,17:30,305.17,263.02,34.98,26.26,32.5,2.437279
2018-7-2,17:45,258.16,221.85,34.87,26.4,32.200001,1.441485
2018-7-2,18:00,227.16,192.48,34.78,26.58,32.099998,1.326087
