date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,28.04,38.78,26.13448,0
2018-7-1,0:15,0,0,27.67,39.76,25.998949,0
2018-7-1,0:30,0,0,27.28,40.78,25.795271,0
2018-7-1,0:45,0,0,26.89,41.78,25.795271,0
2018-7-1,1:00,0,0,26.61,42.5,25.65947,0
2018-7-1,1:15,0,0,26.37,43.16,24.70886,0
2018-7-1,1:30,0,0,26.16,43.78,24.980471,0
2018-7-1,1:45,0,0,25.95,44.45,25.727369,0
2018-7-1,2:00,0,0,25.76,45.07,25.455759,0
2018-7-1,2:15,0,0,25.63,45.55,25.52367,0
2018-7-1,2:30,0,0,25.54,45.93,25.52367,0
2018-7-1,2:45,0,0,25.42,46.4,25.795271,0
2018-7-1,3:00,0,0,25.27,46.93,25.52367,0
2018-7-1,3:15,0,0,25.12,47.48,24.573071,0
2018-7-1,3:30,0,0,24.92,48.12,25.048361,0
2018-7-1,3:45,0,0,24.64,48.94,24.980471,0
2018-7-1,4:00,0,0,24.15,50.39,24.980471,0
2018-7-1,4:15,0,0,23.62,51.9,24.43726,0
2018-7-1,4:30,0,0,23.21,53.03,23.82616,0
2018-7-1,4:45,0,0,22.89,53.92,24.097759,0
2018-7-1,5:00,0,0,22.58,54.88,23.82616,0
2018-7-1,5:15,8.81,3.39,22.37,55.62,23.82616,0
2018-7-1,5:30,30.13,17.66,22.39,55.76,24.165661,0.218357
2018-7-1,5:45,71.03,50.82,22.75,54.88,24.23357,0.461877
2018-7-1,6:00,101.68,77.56,23.33,53.48,23.96196,0.715107
2018-7-1,6:15,150.65,121.84,23.95,51.73,23.82616,1.055004
2018-7-1,6:30,184.67,153.27,24.31,50.73,24.165661,1.382445
2018-7-1,6:45,237.01,202.28,24.87,49.21,24.64097,1.842531
2018-7-1,7:00,272.48,235.8,25.48,47.05,25.18417,2.414125
2018-7-1,7:15,326.07,286.82,25.9,45.61,25.93107,3.085414
2018-7-1,7:30,361.74,320.96,26.38,44.6,25.587179,3.923063
2018-7-1,7:45,414.72,371.85,27.02,43.31,25.790371,4.708375
2018-7-1,8:00,449.43,405.32,27.82,41.46,26.196039,5.676453
2018-7-1,8:15,500.3,454.45,28.35,40,26.8039,6.510219
